151,83,74
93,15,3
89,8,7
75,0,0
88,7,16
102,19,13
94,23,0
160,71,29
124,33,0
123,52,8
86,14,0
61,20,0
121,13,10
99,7,0
121,21,0
108,12,0
131,55,21
118,45,0
59,8,7
79,19,9
156,106,107
131,65,31
138,93,62
73,28,7
90,48,50
173,124,109
70,10,0
67,11,10
108,75,58
118,82,82
70,8,0
74,27,11
50,8,0
60,15,9
79,16,7
31,2,0
13,0,0
40,0,8
39,6,1
68,10,0
97,11,0
84,6,4
106,15,0
103,8,16
97,7,9
52,9,0
40,2,0
34,0,10
29,13,14
53,10,17
54,7,0
75,25,0
24,0,0
22,12,2
62,1,0
115,55,21
92,15,0
89,10,3
85,7,7
91,16,0
93,9,0
70,1,0
97,13,3
190,127,94
125,64,19
149,76,33
84,6,0
94,18,0
83,22,4
89,17,2
109,25,14
109,22,13
86,18,0
83,7,0
110,15,9
81,13,12
72,0,0
106,17,19
98,6,0
97,11,0
98,10,0
128,48,21
99,7,12
104,13,20
86,1,0
96,17,10
83,16,8
85,6,0
149,101,89
96,9,2
103,13,12
91,6,0
